lon,lat,elevation,slope,aspect,landcover_class,mean_rainfall,24H_rain,ndvi
-119.68570814313266,38.74540118847362,2426,48.11,18.61,10,13.57,58.7,0.3
-113.6358958873622,44.50714306409916,752,59.75,191.29,20,15.99,79.1,0.263
-116.85644018923674,42.31993941811405,984,53.58,194.63,10,13.09,40.3,0.123
-114.91429308835298,40.98658484197037,3195,43.4,229.47,10,15.52,70.1,0.039
-110.92433526073907,36.560186404424364,2319,44.81,261.39,20,12.73,49.4,0.3
-117.50707770851125,36.55994520336203,527,34.97,351.31,40,10.48,44.1,0.156
-115.8961707696437,35.580836121682,804,44.81,185.87,40,12.29,57.9,0.151
-112.44448861456951,43.66176145774935,2490,42.11,116.26,10,9.75,39.3,0.148
-117.71201834508378,41.01115011743209,515,48.23,286.27,20,12.78,48.9,0.17
-119.23020090171207,42.08072577796045,982,36.73,97.5,10,9.31,36.0,0.136
-117.10248547086232,35.205844942958024,2146,24.21,158.03,30,19.76,149.3,0.093
-118.38778712745996,44.699098521619945,2575,60.33,28.24,30,17.82,60.7,0.095
-110.70302347657427,43.324426408004214,2455,43.91,9.13,10,13.31,46.0,0.147
-111.91879620435583,37.12339110678276,1172,27.38,346.55,40,13.53,114.3,0.096
-113.66596243489576,36.818249672071005,2636,51.9,300.95,40,15.65,57.8,0.079
-111.28539409812282,36.83404509853434,1211,40.99,250.55,10,12.12,55.6,0.161
-111.96327923100885,38.042422429595376,1476,47.24,147.22,10,11.25,72.3,0.125
-118.13429941113964,40.24756431632238,2739,45.13,62.39,30,13.72,75.2,0.3
-111.07441001510023,39.31945018642116,2448,22.39,56.32,40,8.31,99.4,-0.1
-114.60657758084349,37.91229140198042,3047,21.1,90.09,10,11.22,98.5,0.259
-111.92559844835938,41.118528947223794,2472,45.25,197.72,30,12.82,54.5,0.275
-111.03908700076506,36.39493860652042,2204,49.98,257.25,40,11.21,20.0,-0.057
-116.81996525028136,37.921446485352185,781,59.51,237.67,20,9.9,29.7,0.116
-118.89948075472323,38.663618432936914,1603,54.59,100.78,30,17.04,87.3,0.113
-117.72064837458058,39.56069984217036,1295,66.53,343.75,40,19.93,92.9,0.009
-115.72892211373744,42.851759613930135,1231,37.33,265.64,40,8.44,55.0,0.072
-111.81985234077507,36.9967378215836,3419,53.72,199.57,30,15.69,71.5,0.039
-111.39269416743656,40.142344384136116,1679,46.83,220.22,20,16.0,66.2,0.3
-119.93047869468809,40.92414568862043,3176,66.9,151.06,30,19.41,121.6,0.244
-114.89252697422434,35.46450412719998,2393,36.92,89.18,40,19.06,82.4,0.277
-115.82588996851221,41.07544851901439,2884,36.6,128.15,10,13.88,57.4,0.222
-117.7789218952927,36.705241236872915,2007,23.55,272.82,10,10.01,90.9,0.037
-118.80134632666318,35.650515929852794,2230,30.0,5.18,30,10.25,27.9,0.098
-116.62384828596372,44.48885537253334,1977,22.87,41.79,40,18.69,114.1,0.199
-110.5709029608748,44.656320330745594,1085,37.41,16.56,10,11.77,44.9,0.028
-116.76797067979244,43.08397348116461,2667,46.5,14.66,40,10.0,31.6,0.221
-114.81209378256634,38.046137691733705,1342,22.96,307.97,30,10.81,97.1,0.126
-112.96981041104823,35.97672114006384,572,63.76,253.32,10,8.78,38.4,0.113
-116.36370397620706,41.84233026512157,2436,54.5,170.7,40,20.05,93.7,0.221
-110.28217917279039,39.40152493739601,1031,39.23,35.22,10,14.38,77.6,0.194
-110.37552705057888,36.220382348447785,3321,36.02,176.98,30,13.69,59.8,0.114
-117.48217704174635,39.9517691011127,3361,49.92,170.45,40,16.84,89.6,0.266
-115.02751494107615,35.343885211152184,3244,31.8,62.35,10,14.75,61.5,0.042
-116.9912169018323,44.09320402078782,1610,63.31,156.19,30,11.78,42.8,0.212
-117.15159505622532,37.58779981600017,546,56.79,143.46,10,20.0,90.5,0.209
-119.63113052645467,41.62522284353982,3284,40.31,221.71,10,14.09,70.8,0.119
-113.90435666020103,38.11711076089411,1784,30.0,228.63,20,10.07,39.3,0.183
-114.97320976771138,40.200680211778106,3399,58.54,16.31,20,11.07,56.2,0.025
-119.4852124875001,40.467102793432794,3390,43.85,134.86,30,10.18,42.5,0.242
-117.21353535763389,36.84854455525527,3059,22.34,225.31,20,10.38,82.3,0.132
-110.91734114033346,44.695846277645586,1383,30.0,181.13,30,17.73,78.5,0.098
-117.60438109333028,42.75132823361115,1655,39.01,308.34,20,17.18,98.2,0.255
